240 3
 62.8328 0 0.153846
 79.2699 0 0.230769
 79.2699 0 0.307692
 95.7071 0 0.384615
 112.144 0 0.461538
 112.144 0 0.538462
 128.581 0 0.615385
 145.018 0 0.692308
 145.018 0 0.769231
 161.456 0 0.846154
 177.893 0 0.923077
 186.111 0 1
 349.284 2 0
 357.166 2 0.0666667
 372.932 2 0.133333
 339.963 3 0
 347.885 3 0.0666667
 363.73 3 0.133333
 291.937 4 0
 305.793 4 0.333333
 315.03 4 0.666667
 319.649 4 1
 319.649 5 0
 325.812 5 0.5
 331.976 5 1
 331.976 6 0
 348.722 6 0.2
 359.886 6 0.4
 371.05 6 0.6
 331.976 7 0
 340.176 7 0.2
 356.577 7 0.4
 356.577 7 0.6
 372.978 7 0.8
 319.649 10 0
 326.031 10 0.0833333
 338.796 10 0.166667
 351.561 10 0.25
 364.326 10 0.333333
 258.234 11 0
 267.255 11 0.125
 285.298 11 0.25
 285.298 11 0.375
 303.341 11 0.5
 321.384 11 0.625
 321.384 11 0.75
 339.427 11 0.875
 348.448 11 1
 348.448 12 0
 355.887 12 0.111111
 370.765 12 0.222222
 348.448 13 0
 355.748 13 0.111111
 370.347 13 0.222222
 242.671 14 0
 250.383 14 0.0588235
 265.806 14 0.117647
 281.229 14 0.176471
 296.652 14 0.235294
 296.652 14 0.294118
 312.075 14 0.352941
 327.498 14 0.411765
 342.921 14 0.470588
 342.921 14 0.529412
 358.344 14 0.588235
 373.767 14 0.647059
 234.189 15 0
 243.032 15 0.0588235
 260.718 15 0.117647
 260.718 15 0.176471
 278.405 15 0.235294
 296.092 15 0.294118
 296.092 15 0.352941
 313.778 15 0.411765
 331.465 15 0.470588
 331.465 15 0.529412
 349.151 15 0.588235
 366.838 15 0.647059
 366.838 15 0.705882
 213.635 16 0
 224.588 16 0.5
 235.541 16 1
 235.541 17 0
 243.283 17 0.05
 258.766 17 0.1
 274.25 17 0.15
 289.733 17 0.2
 289.733 17 0.25
 305.217 17 0.3
 320.701 17 0.35
 336.184 17 0.4
 336.184 17 0.45
 351.668 17 0.5
 367.152 17 0.55
 235.541 18 0
 242.642 18 0.0714286
 256.845 18 0.142857
 271.049 18 0.214286
 285.252 18 0.285714
 285.252 18 0.357143
 299.455 18 0.428571
 313.658 18 0.5
 327.861 18 0.571429
 342.064 18 0.642857
 342.064 18 0.714286
 356.267 18 0.785714
 370.471 18 0.857143
 208.396 19 0
 223.244 19 0.333333
 233.143 19 0.666667
 238.092 19 1
 200.788 20 0
 218.125 20 0.2
 229.683 20 0.4
 241.241 20 0.6
 252.799 20 0.8
 258.578 20 1
 167.019 21 0
 178.438 21 0.5
 189.857 21 1
 189.857 22 0
 196.942 22 0.5
 204.027 22 1
 204.027 23 0
 217.798 23 0.333333
 226.979 23 0.666667
 231.57 23 1
 231.57 24 0
 237.733 24 0.166667
 250.059 24 0.333333
 262.384 24 0.5
 274.71 24 0.666667
 287.036 24 0.833333
 293.199 24 1
 231.57 25 0
 237.578 25 0.125
 249.595 25 0.25
 261.611 25 0.375
 273.628 25 0.5
 285.644 25 0.625
 297.661 25 0.75
 309.678 25 0.875
 315.686 25 1
 204.027 26 0
 212.489 26 0.1
 229.414 26 0.2
 246.339 26 0.3
 246.339 26 0.4
 263.264 26 0.5
 280.189 26 0.6
 280.189 26 0.7
 297.114 26 0.8
 314.039 26 0.9
 322.502 26 1
 189.857 27 0
 207.795 27 0.0909091
 219.753 27 0.181818
 231.712 27 0.272727
 243.67 27 0.363636
 255.629 27 0.454545
 267.587 27 0.545455
 279.546 27 0.636364
 291.504 27 0.727273
 303.463 27 0.818182
 315.421 27 0.909091
 321.4 27 1
 155.367 28 0
 162.61 28 0.25
 177.095 28 0.5
 191.581 28 0.75
 198.824 28 1
 198.824 29 0
 205.46 29 0.166667
 218.734 29 0.333333
 232.007 29 0.5
 245.28 29 0.666667
 258.554 29 0.833333
 265.19 29 1
 198.824 30 0
 205.414 30 0.1
 218.594 30 0.2
 231.774 30 0.3
 244.954 30 0.4
 258.134 30 0.5
 271.314 30 0.6
 284.494 30 0.7
 297.674 30 0.8
 310.854 30 0.9
 317.444 30 1
 124.222 31 0
 135.945 31 0.5
 147.669 31 1
 116.812 32 0
 123.121 32 0.5
 129.43 32 1
 129.43 33 0
 139.11 33 1
 139.11 34 0
 145.793 34 1
 145.793 35 0
 152.333 35 0.125
 165.412 35 0.25
 178.492 35 0.375
 191.571 35 0.5
 204.651 35 0.625
 217.731 35 0.75
 230.81 35 0.875
 237.35 35 1
 145.793 36 0
 163.373 36 0.2
 175.093 36 0.4
 186.813 36 0.6
 198.534 36 0.8
 204.394 36 1
 139.11 37 0
 155.458 37 0.333333
 166.357 37 0.666667
 171.806 37 1
 129.43 38 0
 137.445 38 0.0555556
 153.476 38 0.111111
 169.507 38 0.166667
 169.507 38 0.222222
 185.538 38 0.277778
 201.569 38 0.333333
 217.6 38 0.388889
 217.6 38 0.444444
 233.631 38 0.5
 249.662 38 0.555556
 249.662 38 0.611111
 265.693 38 0.666667
 281.724 38 0.722222
 297.755 38 0.777778
 297.755 38 0.833333
 313.786 38 0.888889
 329.817 38 0.944444
 337.832 38 1
 95.6285 39 0
 107.274 39 0.5
 118.92 39 1
