182 3
 477.215 18 0.111111
 497.889 18 0.222222
 497.889 18 0.333333
 518.562 18 0.444444
 518.562 18 0.555556
 539.236 18 0.666667
 539.236 18 0.777778
 559.91 18 0.888889
 570.246 18 1
 570.246 19 0
 581.688 19 0.5
 593.129 19 1
 593.129 20 0
 602.269 20 0.125
 620.548 20 0.25
 620.548 20 0.375
 638.827 20 0.5
 657.106 20 0.625
 657.106 20 0.75
 675.385 20 0.875
 684.525 20 1
 684.525 21 0
 691.075 21 0.125
 704.175 21 0.25
 717.275 21 0.375
 730.374 21 0.5
 743.474 21 0.625
 756.574 21 0.75
 769.674 21 0.875
 776.224 21 1
 684.525 22 0
 690.988 22 0.125
 703.913 22 0.25
 716.839 22 0.375
 729.764 22 0.5
 742.689 22 0.625
 755.615 22 0.75
 768.54 22 0.875
 775.003 22 1
 593.129 23 0
 599.941 23 0.25
 613.566 23 0.5
 627.19 23 0.75
 634.003 23 1
 570.246 24 0
 581.611 24 0.166667
 604.341 24 0.333333
 604.341 24 0.5
 627.07 24 0.666667
 627.07 24 0.833333
 638.435 24 1
 638.435 25 0
 650.742 25 0.333333
 658.947 25 0.666667
 663.049 25 1
 663.049 26 0
 670.328 26 0.111111
 684.886 26 0.222222
 699.444 26 0.333333
 714.002 26 0.444444
 714.002 26 0.555556
 728.559 26 0.666667
 743.117 26 0.777778
 757.675 26 0.888889
 764.954 26 1
 663.049 27 0
 670.644 27 0.0833333
 685.834 27 0.166667
 701.024 27 0.25
 716.214 27 0.333333
 716.214 27 0.416667
 731.404 27 0.5
 746.594 27 0.583333
 761.784 27 0.666667
 761.784 27 0.75
 776.974 27 0.833333
 792.164 27 0.916667
 799.759 27 1
 638.435 28 0
 645.672 28 0.0714286
 660.147 28 0.142857
 674.622 28 0.214286
 689.097 28 0.285714
 689.097 28 0.357143
 703.572 28 0.428571
 718.047 28 0.5
 732.521 28 0.571429
 746.996 28 0.642857
 746.996 28 0.714286
 761.471 28 0.785714
 775.946 28 0.857143
 790.421 28 0.928571
 797.658 28 1
 485.943 29 0.5
 498.653 29 0.75
 505.008 29 1
 489.344 30 0.444444
 489.344 30 0.555556
 510.377 30 0.666667
 510.377 30 0.777778
 531.409 30 0.888889
 541.925 30 1
 541.925 31 0
 550.596 31 0.125
 567.939 31 0.25
 567.939 31 0.375
 585.282 31 0.5
 602.625 31 0.625
 602.625 31 0.75
 619.967 31 0.875
 628.639 31 1
 628.639 32 0
 636.069 32 0.142857
 650.93 32 0.285714
 665.79 32 0.428571
 665.79 32 0.571429
 680.651 32 0.714286
 695.511 32 0.857143
 702.942 32 1
 702.942 33 0
 708.976 33 0.1
 721.046 33 0.2
 733.116 33 0.3
 745.185 33 0.4
 757.255 33 0.5
 769.325 33 0.6
 781.394 33 0.7
 793.464 33 0.8
 805.534 33 0.9
 811.569 33 1
 702.942 34 0
 710.621 34 0.111111
 725.979 34 0.222222
 741.337 34 0.333333
 756.695 34 0.444444
 756.695 34 0.555556
 772.053 34 0.666667
 787.412 34 0.777778
 802.77 34 0.888889
 810.449 34 1
 628.639 35 0
 636.128 35 0.0526316
 651.107 35 0.105263
 666.086 35 0.157895
 681.065 35 0.210526
 681.065 35 0.263158
 696.045 35 0.315789
 711.024 35 0.368421
 726.003 35 0.421053
 740.982 35 0.473684
 740.982 35 0.526316
 755.961 35 0.578947
 770.94 35 0.631579
 785.919 35 0.684211
 800.898 35 0.736842
 800.898 35 0.789474
 815.877 35 0.842105
 830.856 35 0.894737
 845.835 35 0.947368
 853.325 35 1
 541.925 36 0
 550.189 36 0.047619
 566.716 36 0.0952381
 583.244 36 0.142857
 583.244 36 0.190476
 599.771 36 0.238095
 616.299 36 0.285714
 632.827 36 0.333333
 632.827 36 0.380952
 649.354 36 0.428571
 665.882 36 0.47619
 665.882 36 0.52381
 682.409 36 0.571429
 698.937 36 0.619048
 715.465 36 0.666667
 715.465 36 0.714286
 731.992 36 0.761905
 748.52 36 0.809524
 748.52 36 0.857143
 765.047 36 0.904762
 781.575 36 0.952381
 789.839 36 1
