46 3
 66.9028 1 0.4
 66.9028 1 0.6
 86.0533 1 0.8
 95.6285 1 1
 95.6285 2 0
 106.22 2 0.5
 116.812 2 1
 116.812 3 0
 124.222 3 1
 124.222 4 0
 139.794 4 0.333333
 139.794 4 0.666667
 155.367 4 1
 155.367 5 0
 167.019 5 1
 167.019 6 0
 183.904 6 0.333333
 183.904 6 0.666667
 200.788 6 1
 200.788 7 0
 208.396 7 1
 208.396 8 0
 213.635 8 1
 213.635 9 0
 223.912 9 0.5
 234.189 9 1
 234.189 10 0
 242.671 10 1
 242.671 11 0
 250.453 11 0.5
 258.234 11 1
 258.234 12 0
 275.086 12 0.333333
 275.086 12 0.666667
 291.937 12 1
 291.937 13 0
 299.942 13 0.2
 315.95 13 0.4
 315.95 13 0.6
 331.959 13 0.8
 339.963 13 1
 339.963 14 0
 349.284 14 1
 349.284 15 0
 362.339 15 0.142857
 362.339 15 0.285714
