426 3
 58.3579 1 0.333333
 58.3579 1 0.666667
 71.3123 1 1
 71.3123 2 0
 78.2732 2 0.25
 92.195 2 0.5
 106.117 2 0.75
 113.078 2 1
 113.078 3 0
 120.333 3 0.25
 134.845 3 0.5
 149.356 3 0.75
 156.612 3 1
 113.078 4 0
 121.095 4 0.2
 137.13 4 0.4
 137.13 4 0.6
 153.164 4 0.8
 161.181 4 1
 161.181 5 0
 168.703 5 0.142857
 183.747 5 0.285714
 198.791 5 0.428571
 198.791 5 0.571429
 213.835 5 0.714286
 228.879 5 0.857143
 236.401 5 1
 161.181 6 0
 175.293 6 0.25
 184.701 6 0.5
 194.109 6 0.75
 208.221 6 1
 71.3123 7 0
 79.5002 7 0.5
 87.6882 7 1
 87.6882 8 0
 94.9758 8 0.111111
 109.551 8 0.222222
 124.126 8 0.333333
 138.702 8 0.444444
 138.702 8 0.555556
 153.277 8 0.666667
 167.852 8 0.777778
 182.428 8 0.888889
 189.715 8 1
 189.715 9 0
 195.984 9 0.166667
 208.523 9 0.333333
 221.061 9 0.5
 233.6 9 0.666667
 246.138 9 0.833333
 252.408 9 1
 189.715 10 0
 196.436 10 0.0909091
 209.878 10 0.181818
 223.32 10 0.272727
 236.761 10 0.363636
 250.203 10 0.454545
 250.203 10 0.545455
 263.645 10 0.636364
 277.087 10 0.727273
 290.529 10 0.818182
 303.97 10 0.909091
 310.691 10 1
 87.6882 11 0
 99.3165 11 0.5
 110.945 11 1
 110.945 12 0
 117.319 12 0.125
 130.068 12 0.25
 142.817 12 0.375
 155.566 12 0.5
 168.314 12 0.625
 181.063 12 0.75
 193.812 12 0.875
 200.186 12 1
 110.945 13 0
 117.534 13 0.1
 130.711 13 0.2
 143.889 13 0.3
 157.066 13 0.4
 170.244 13 0.5
 183.421 13 0.6
 196.599 13 0.7
 209.776 13 0.8
 222.954 13 0.9
 229.542 13 1
 52.807 14 0.0588235
 67.6139 14 0.117647
 82.4208 14 0.176471
 97.2277 14 0.235294
 97.2277 14 0.294118
 112.035 14 0.352941
 126.842 14 0.411765
 141.648 14 0.470588
 141.648 14 0.529412
 156.455 14 0.588235
 171.262 14 0.647059
 186.069 14 0.705882
 186.069 14 0.764706
 200.876 14 0.823529
 215.683 14 0.882353
 230.49 14 0.941176
 237.893 14 1
 55.6236 15 1
 55.6236 16 0
 63.2229 16 0.25
 78.4215 16 0.5
 93.6201 16 0.75
 101.219 16 1
 101.219 17 0
 109.088 17 0.5
 116.956 17 1
 116.956 18 0
 128.723 18 0.5
 140.491 18 1
 140.491 19 0
 146.972 19 0.1
 159.934 19 0.2
 172.896 19 0.3
 185.858 19 0.4
 198.82 19 0.5
 211.782 19 0.6
 224.744 19 0.7
 237.706 19 0.8
 250.668 19 0.9
 257.149 19 1
 140.491 20 0
 147.443 20 0.5
 154.395 20 1
 154.395 21 0
 160.921 21 0.1
 173.972 21 0.2
 187.023 21 0.3
 200.074 21 0.4
 213.125 21 0.5
 226.177 21 0.6
 239.228 21 0.7
 252.279 21 0.8
 265.33 21 0.9
 271.856 21 1
 154.395 22 0
 161.123 22 0.166667
 174.579 22 0.333333
 188.036 22 0.5
 201.492 22 0.666667
 214.948 22 0.833333
 221.676 22 1
 116.956 23 0
 134.418 23 0.142857
 146.059 23 0.285714
 157.7 23 0.428571
 169.342 23 0.571429
 180.983 23 0.714286
 192.624 23 0.857143
 198.445 23 1
 198.445 24 0
 204.734 24 0.25
 217.312 24 0.5
 229.891 24 0.75
 236.18 24 1
 198.445 25 0
 215.836 25 0.333333
 227.43 25 0.666667
 233.227 25 1
 101.219 26 0
 108.462 26 0.111111
 122.949 26 0.222222
 137.435 26 0.333333
 151.921 26 0.444444
 151.921 26 0.555556
 166.407 26 0.666667
 180.893 26 0.777778
 195.379 26 0.888889
 202.622 26 1
 55.6236 27 0
 67.6077 27 0.5
 79.5919 27 1
 59.0579 29 0.4
 59.0579 29 0.6
 76.4446 29 0.8
 85.138 29 1
 56.0631 31 0.333333
 68.0521 31 0.666667
 74.0466 31 1
 74.0466 32 0
 83.9782 32 1
 83.9782 33 0
 94.6451 33 0.5
 105.312 33 1
 105.312 34 0
 117.523 34 0.333333
 125.664 34 0.666667
 129.735 34 1
 129.735 35 0
 136.336 35 0.166667
 149.539 35 0.333333
 162.741 35 0.5
 175.944 35 0.666667
 189.147 35 0.833333
 195.748 35 1
 129.735 36 0
 146.74 36 0.2
 158.078 36 0.4
 169.415 36 0.6
 180.752 36 0.8
 186.421 36 1
 105.312 37 0
 120.571 37 0.2
 130.743 37 0.4
 140.916 37 0.6
 151.088 37 0.8
 156.175 37 1
 83.9782 38 0
 91.4188 38 0.0833333
 106.3 38 0.166667
 121.181 38 0.25
 136.062 38 0.333333
 136.062 38 0.416667
 150.944 38 0.5
 165.825 38 0.583333
 180.706 38 0.666667
 180.706 38 0.75
 195.587 38 0.833333
 210.469 38 0.916667
 217.909 38 1
 74.0466 39 0
 80.1235 39 0.166667
 92.2772 39 0.333333
 104.431 39 0.5
 116.585 39 0.666667
 128.738 39 0.833333
 134.815 39 1
 134.815 40 0
 150.763 40 0.142857
 161.395 40 0.285714
 172.027 40 0.428571
 182.658 40 0.571429
 193.29 40 0.714286
 203.922 40 0.857143
 209.238 40 1
 134.815 41 0
 141.836 41 0.111111
 155.876 41 0.222222
 169.917 41 0.333333
 183.957 41 0.444444
 183.957 41 0.555556
 197.998 41 0.666667
 212.039 41 0.777778
 226.079 41 0.888889
 233.1 41 1
 54.7018 43 0.5
 61.3988 43 1
 61.3988 44 0
 73.6331 44 0.333333
 81.7893 44 0.666667
 85.8674 44 1
 85.8674 45 0
 93.4904 45 0.142857
 108.736 45 0.285714
 123.982 45 0.428571
 123.982 45 0.571429
 139.228 45 0.714286
 154.474 45 0.857143
 162.097 45 1
 162.097 46 0
 178.899 46 0.142857
 190.101 46 0.285714
 201.303 46 0.428571
 212.504 46 0.571429
 223.706 46 0.714286
 234.908 46 0.857143
 240.509 46 1
 162.097 47 0
 168.579 47 0.166667
 181.544 47 0.333333
 194.508 47 0.5
 207.473 47 0.666667
 220.437 47 0.833333
 226.919 47 1
 85.8674 48 0
 97.8558 48 0.5
 109.844 48 1
 61.3988 49 0
 68.2914 49 0.5
 75.184 49 1
 75.184 50 0
 89.0402 50 0.333333
 98.2777 50 0.666667
 102.896 50 1
 102.896 51 0
 109.722 51 0.0909091
 123.373 51 0.181818
 137.025 51 0.272727
 150.676 51 0.363636
 164.327 51 0.454545
 164.327 51 0.545455
 177.979 51 0.636364
 191.63 51 0.727273
 205.281 51 0.818182
 218.933 51 0.909091
 225.758 51 1
 102.896 52 0
 113.229 52 1
 113.229 53 0
 120.351 53 0.111111
 134.594 53 0.222222
 148.838 53 0.333333
 163.082 53 0.444444
 163.082 53 0.555556
 177.325 53 0.666667
 191.569 53 0.777778
 205.812 53 0.888889
 212.934 53 1
 113.229 54 0
 119.496 54 0.125
 132.03 54 0.25
 144.564 54 0.375
 157.098 54 0.5
 169.632 54 0.625
 182.166 54 0.75
 194.7 54 0.875
 200.967 54 1
 75.184 55 0
 82.2122 55 0.0909091
 96.2685 55 0.181818
 110.325 55 0.272727
 124.381 55 0.363636
 138.438 55 0.454545
 138.438 55 0.545455
 152.494 55 0.636364
 166.55 55 0.727273
 180.607 55 0.818182
 194.663 55 0.909091
 201.691 55 1
 57.0428 56 0.5
 66.081 56 1
 66.081 57 0
 72.9845 57 0.0769231
 86.7917 57 0.153846
 100.599 57 0.230769
 114.406 57 0.307692
 128.213 57 0.384615
 142.02 57 0.461538
 142.02 57 0.538462
 155.827 57 0.615385
 169.634 57 0.692308
 183.442 57 0.769231
 197.249 57 0.846154
 211.056 57 0.923077
 217.959 57 1
 66.081 58 0
 73.2199 58 0.111111
 87.4978 58 0.222222
 101.776 58 0.333333
 116.053 58 0.444444
 116.053 58 0.555556
 130.331 58 0.666667
 144.609 58 0.777778
 158.887 58 0.888889
 166.026 58 1
 51.5067 61 0.5
 59.704 61 1
 59.704 62 0
 71.6921 62 1
 71.6921 63 0
 78.5047 63 0.125
 92.1299 63 0.25
 105.755 63 0.375
 119.38 63 0.5
 133.005 63 0.625
 146.631 63 0.75
 160.256 63 0.875
 167.068 63 1
 71.6921 64 0
 89.17 64 0.142857
 100.822 64 0.285714
 112.474 64 0.428571
 124.126 64 0.571429
 135.778 64 0.714286
 147.43 64 0.857143
 153.256 64 1
 59.704 65 0
 67.1848 65 0.0833333
 82.1463 65 0.166667
 97.1077 65 0.25
 112.069 65 0.333333
 112.069 65 0.416667
 127.031 65 0.5
 141.992 65 0.583333
 156.954 65 0.666667
 156.954 65 0.75
 171.915 65 0.833333
 186.877 65 0.916667
 194.357 65 1
 50.847 66 0.111111
 65.9224 66 0.222222
 80.9978 66 0.333333
 96.0732 66 0.444444
 96.0732 66 0.555556
 111.149 66 0.666667
 126.224 66 0.777778
 141.299 66 0.888889
 148.837 66 1
 55.5128 68 0.5
 62.4662 68 1
 62.4662 69 0
 78.5628 69 0.142857
 89.2939 69 0.285714
 100.025 69 0.428571
 110.756 69 0.571429
 121.487 69 0.714286
 132.218 69 0.857143
 137.584 69 1
 62.4662 70 0
 68.475 70 0.1
 80.4925 70 0.2
 92.5101 70 0.3
 104.528 70 0.4
 116.545 70 0.5
 128.563 70 0.6
 140.58 70 0.7
 152.598 70 0.8
 164.615 70 0.9
 170.624 70 1
 55.2293 71 1
